,oscar_winning_movies
530,Charade (1984 film)
531,Dangerous Moves
532,Purple Rain (film)
533,The Stone Carvers (film)
534,The Times of Harvey Milk
535,Up (1984 film)
536,The Woman in Red (1984 film)
537,The River (1984 film)
538,Terms of Endearment
539,The Right Stuff (film)
540,Fanny and Alexander
541,Tender Mercies
542,Yentl (film)
543,Flashdance
544,Boys and Girls (1983 film)
545,Flamenco at 5:15
546,He Makes Me Feel Like Dancin'
547,Sundae in New York
548,The Year of Living Dangerously (film)
549,Return of the Jedi
550,Gandhi (film)
551,E.T. the Extra-Terrestrial
552,An Officer and a Gentleman
553,Tootsie
554,Victor/Victoria
555,Sophie's Choice (film)
556,Missing (1982 film)
557,If You Love This Planet
558,Just Another Missing Kid
559,
560,A Shocking Accident
561,Tango (1981 film)
562,Begin the Beguine (film)
563,Quest for Fire (film)
564,Chariots of Fire
565,Raiders of the Lost Ark
566,Reds (film)
567,On Golden Pond (1981 film)
568,Arthur (1981 film)
569,An American Werewolf in London
570,Close Harmony (1981 film)
571,Crac
572,Genocide (1981 film)
573,Mephisto (1981 film)
574,Violet (1981 film)
575,Ordinary People
576,Tess (1979 film)
577,Raging Bull
578,Fame (1980 film)
579,Melvin and Howard
580,Coal Miner's Daughter (film)
581,The Empire Strikes Back
582,The Dollar Bottom
583,The Fly (1980 film)
584,From Mao to Mozart: Isaac Stern in China
585,Karl Hess: Toward Liberty
586,Moscow Does Not Believe in Tears
587,Kramer vs. Kramer
588,All That Jazz (film)
589,Apocalypse Now
590,Norma Rae
591,Breaking Away
592,Alien (film)
593,Being There
594,A Little Romance
595,Best Boy (film)
596,Board and Care
597,Every Child (film)
598,Paul Robeson: Tribute to an Artist
599,The Tin Drum (film)
600,The Black Stallion (film)
601,The Deer Hunter
602,Coming Home (1978 film)
603,Midnight Express (film)
604,Heaven Can Wait (1978 film)
605,Days of Heaven
606,California Suite (film)
607,The Buddy Holly Story
608,Death on the Nile (1978 film)
609,The Flight of the Gossamer Condor
610,Get Out Your Handkerchiefs
611,Scared Straight!
612,Special Delivery (1978 film)
613,Teenage Father
614,Thank God It's Friday (film)
615,Superman (1978 film)
616,Annie Hall
617,Star Wars (film)
618,Julia (1977 film)
619,Close Encounters of the Third Kind
620,The Goodbye Girl
621,A Little Night Music (film)
622,Gravity Is My Enemy
623,I'll Find a Way
624,Madame Rosa
625,The Sand Castle (film)
626,Who Are the DeBolts? And Where Did They Get Nineteen Kids?
627,You Light Up My Life (film)
628,Rocky
629,Network (1976 film)
630,All the President's Men (film)
631,Bound for Glory (1976 film)
632,A Star Is Born (1976 film)
633,Fellini's Casanova
634,The Omen
635,Black and White in Color
636,"Harlan County, USA"
637,In the Region of Ice
638,Leisure (film)
639,Number Our Days
640,King Kong (1976 film)
641,Logan's Run (film)
642,One Flew Over the Cuckoo's Nest (film)
643,Barry Lyndon
644,Jaws (film)
645,Dog Day Afternoon
646,Nashville (film)
647,Shampoo (film)
648,The Sunshine Boys (1975 film)
649,Angel and Big Joe
650,Dersu Uzala (1975 film)
651,The End of the Game (1975 film)
652,Great (1975 film)
653,The Man Who Skied Down Everest
654,The Hindenburg (film)
655,The Godfather Part II
656,The Towering Inferno
657,The Great Gatsby (1974 film)
658,Chinatown (1974 film)
659,Murder on the Orient Express (1974 film)
660,Earthquake (1974 film)
661,Alice Doesn't Live Here Anymore
662,Amarcord
663,
664,Harry and Tonto
665,Closed Mondays
666,Don't (1974 film)
667,Hearts and Minds (film)
668,One-Eyed Men Are Kings
669,The Sting
670,The Exorcist (film)
671,The Way We Were
672,Cries and Whispers
673,A Touch of Class (film)
674,Day for Night (film)
675,Paper Moon (film)
676,The Paper Chase (film)
677,Save the Tiger
678,The Bolero
679,Frank Film
680,The Great American Cowboy
681,Princeton: A Search for Answers
682,The Godfather
683,
684,Cabaret (1972 film)
685,The Poseidon Adventure (1972 film)
686,Travels with My Aunt (film)
687,Butterflies Are Free
688,The Candidate (1972 film)
689,The Discreet Charm of the Bourgeoisie
690,A Christmas Carol (1971 film)
691,
692,Limelight (1952 film)
693,
694,Marjoe
695,Norman Rockwell's World... An American Dream
696,This Tiny World
697,The French Connection (film)
698,Fiddler on the Roof (film)
699,The Last Picture Show
700,Nicholas and Alexandra
701,Sentinels of Silence
702,Bedknobs and Broomsticks
703,Summer of '42
704,The Garden of the Finzi-Continis (film)
705,The Hospital
706,Klute
707,Shaft (1971 film)
708,The Crunch Bird
709,The Hellstrom Chronicle
710,Patton (film)
711,Ryan's Daughter
712,Airport (1970 film)
713,Love Story (1970 film)
714,MASH (film)
715,Tora! Tora! Tora!
716,Women in Love (film)
717,Lovers and Other Strangers
718,Woodstock (film)
719,Cromwell (film)
720,Investigation of a Citizen Above Suspicion
721,Interviews with My Lai Veterans
722,Is It Always Right to Be Right?
723,Let It Be (1970 film)
724,The Resurrection of Broncho Billy
725,Midnight Cowboy
726,Butch Cassidy and the Sundance Kid
727,"Hello, Dolly! (film)"
728,Z (1969 film)
729,Anne of the Thousand Days
730,"They Shoot Horses, Don't They? (film)"
731,Marooned (1969 film)
732,The Magic Machines
733,The Prime of Miss Jean Brodie (film)
734,True Grit (1969 film)
735,Arthur Rubinstein – The Love of Life
736,Cactus Flower (film)
737,Czechoslovakia 1968
738,It's Tough to Be a Bird
739,Oliver! (film)
740,The Lion in Winter (1968 film)
741,Romeo and Juliet (1968 film)
742,Funny Girl (film)
743,2001: A Space Odyssey (film)
744,Bullitt
745,The Producers (1967 film)
746,Rosemary's Baby (film)
747,The Subject Was Roses (film)
748,The Thomas Crown Affair (1968 film)
749,War and Peace (film series)
750,Charly
751,Journey into Self (1968 film)
752,Robert Kennedy Remembered
753,Why Man Creates
754,Winnie the Pooh and the Blustery Day
755,Planet of the Apes (1968 film)
756,In the Heat of the Night (film)
757,Camelot (film)
758,Bonnie and Clyde (film)
759,Guess Who's Coming to Dinner
760,Doctor Dolittle (1967 film)
761,The Graduate
762,Thoroughly Modern Millie
763,Cool Hand Luke
764,The Dirty Dozen
765,A Place to Stand (film)
766,The Anderson Platoon
767,The Box (1967 film)
768,Closely Watched Trains
769,The Redwoods
770,A Man for All Seasons (1966 film)
771,Who's Afraid of Virginia Woolf? (film)
772,Grand Prix (1966 film)
773,Fantastic Voyage
774,A Man and a Woman
775,Born Free
776,The Fortune Cookie
777,A Funny Thing Happened on the Way to the Forum (film)
778,A Herb Alpert and the Tijuana Brass Double Feature
779,The War Game
780,Wild Wings
781,A Year Toward Tomorrow
782,The Sound of Music (film)
783,Doctor Zhivago (film)
784,Darling (1965 film)
785,Ship of Fools (film)
786,Cat Ballou
787,The Great Race
788,A Patch of Blue
789,A Thousand Clowns
790,The Shop on Main Street
791,The Sandpiper
792,The Eleanor Roosevelt Story
793,To Be Alive!
794,7 Faces of Dr. Lao
795,7th Heaven (1927 film)
796,"20,000 Leagues Under the Sea (1954 film)"
797,Adventures of Don Juan
798,The Adventures of Robin Hood
799,The African Queen (film)
800,Air Force (film)
801,The Alamo (1960 film)
802,The Alaskan Eskimo
803,Albert Schweitzer (film)
804,Alexander's Ragtime Band (film)
805,All About Eve
806,All Quiet on the Western Front (1930 film)
807,The Devil and Daniel Webster (film)
808,All the King's Men (1949 film)
809,Ama Girls
810,America America
811,An American in Paris (film)
812,Amphibious Fighters
813,Anastasia (1956 film)
814,Anchors Aweigh (film)
815,Anna and the King of Siam (film)
816,Annie Get Your Gun (film)
817,Anthony Adverse
818,The Apartment
819,Aquatic House Party
820,"Arise, My Love"
821,Around the World in 80 Days (1956 film)
822,The Awful Truth
823,The Bachelor and the Bobby-Soxer
824,The Bad and the Beautiful
825,Bad Girl (1931 film)
826,The Barefoot Contessa
827,The Battle of Midway (film)
828,Battleground (film)
829,Bear Country (film)
830,Becket (1964 film)
831,The Bells of St. Mary's
832,Ben-Hur (1959 film)
833,Benjy (film)
834,The Bespoke Overcoat
835,The Best Years of Our Lives
836,Beyond the Line of Duty
837,Bicycle Thieves
838,The Big Broadcast of 1938
839,The Big Country
840,The Big House (1930 film)
841,Bill and Coo
842,Birds Anonymous
843,The Bishop's Wife
844,Black Fox: The Rise and Fall of Adolf Hitler
845,Black Narcissus
846,Black Orpheus
847,The Black Swan (film)
848,Blithe Spirit (1945 film)
849,Blood and Sand (1941 film)
850,Blood on the Sun
851,Blossoms in the Dust
852,Body and Soul (1947 film)
853,Bored of Education
854,Born Yesterday (1950 film)
855,A Boy and His Dog (1946 film)
856,Boys Town (film)
857,The Brave One (1956 film)
858,Breakfast at Tiffany's (film)
859,The Sound Barrier
860,The Bridge of San Luis Rey (1929 film)
861,The Bridge on the River Kwai
862,The Bridges at Toko-Ri
863,Broadway Melody of 1936
864,The Broadway Melody
865,Broken Lance
866,Busy Little Bears
867,BUtterfield 8
868,Calamity Jane (film)
869,Call Me Madam (film)
870,"Captain Carey, U.S.A."
871,Captains Courageous (1937 film)
872,Casablanca (film)
873,Casals Conducts: 1964
874,The Cat Concerto
875,Cavalcade (1933 film)
876,Chagall (film)
877,The Champ (1931 film)
878,Champion (1949 film)
879,A Chance to Live
880,The Charge of the Light Brigade (1936 film)
881,The Chicken (film)
882,Churchill's Island
883,Cimarron (1931 film)
884,The Circus (1928 film)
885,Citizen Kane
886,City of Wax
887,Cleopatra (1934 film)
888,Cleopatra (1963 film)
889,Climbing the Matterhorn
890,Come and Get It (1936 film)
891,"Come Back, Little Sheba (1952 film)"
892,Coquette (film)
893,The Country Cousin
894,The Country Girl (1954 film)
895,Cover Girl (film)
896,The Cowboy and the Lady (1938 film)
897,Crash Dive
898,Crashing the Water Barrier
899,The Critic (film)
900,La Cucaracha (1934 film)
901,Cyrano de Bergerac (1950 film)
902,A Damsel in Distress (1937 film)
903,Dangerous (1935 film)
904,The Dark Angel (1935 film)
905,The Dawn Patrol (1930 film)
906,Day of the Painter
907,Daybreak in Udi
908,Days of Wine and Roses (film)
909,December 7th: The Movie
910,Declaration of Independence (film)
911,The Defiant Ones
912,Der Fuehrer's Face
913,Desert Victory
914,Design for Death
915,Designing Woman
916,Destination Moon (film)
917,The Diary of Anne Frank (1959 film)
918,Disraeli (1929 film)
919,The Divine Lady
920,Divorce Italian Style
921,The Divorcee
922,Dodsworth (film)
923,The Dot and the Line
924,A Double Life (1947 film)
925,The Dove (1927 film)
926,Dr. Jekyll and Mr. Hyde (1931 film)
927,Dumbo
928,Dylan Thomas (film)
929,East of Eden (film)
930,Easter Parade (film)
931,Elmer Gantry (film)
932,The Enemy Below
933,Eskimo (film)
934,Exodus (1960 film)
935,The Face of Lincoln
936,Facing Your Danger
937,The Facts of Life (film)
938,Fantasia (1940 film)
939,A Farewell to Arms (1932 film)
940,The Farmer's Daughter (1947 film)
941,Father Goose (film)
942,8½
943,Ferdinand the Bull (film)
944,The Fighting Lady
945,First Steps (1947 film)
946,Flowers and Trees
947,Folies Bergère de Paris
948,For Scent-imental Reasons
949,For Whom the Bell Tolls (film)
950,Forbidden Games
951,A Free Soul
952,Frenchman's Creek (film)
953,From Here to Eternity
